Тест,А,Б,В,Г,Д
chemistry-2020-додаткова сесія,7,13,10,12,4
chemistry-2020-основна сесія,8,12,12,11,3
chemistry-2020-пробний тест,8,12,12,11,3
chemistry-2019-основна сесія,13,13,13,16,5
chemistry-2019-додаткова сесія,12,14,15,14,5
chemistry-2019-пробний тест,12,10,17,15,6
chemistry-2018-основна сесія,13,15,12,15,5
chemistry-2018-додаткова сесія,13,16,15,13,3
chemistry-2018-пробний тест,12,15,14,14,5
chemistry-2017-основна сесія,14,17,14,16,5
chemistry-2017-додаткова сесія,14,16,15,16,5
chemistry-2017-пробний тест,15,15,14,17,5
chemistry-2016-основна сесія,17,12,16,15,6
chemistry-2016-додаткова сесія,13,16,16,16,5
chemistry-2016-пробний тест,15,13,17,15,6
chemistry-2015-основна сесія,16,16,17,15,4
chemistry-2015-додаткова сесія,16,16,19,14,3
chemistry-2015-пробний тест,14,16,15,18,5
chemistry-2014-основна сесія,16,17,15,19,5
chemistry-2014-додаткова сесія,18,14,16,18,6
chemistry-2014-пробний тест,17,17,17,17,4
chemistry-2013-основна сесія,20,16,19,21,4
chemistry-2013-додаткова сесія,19,19,20,19,3
chemistry-2013-пробний тест,18,19,22,17,4
chemistry-2012-основна сесія,21,16,21,19,3
chemistry-2012-пробний тест,19,18,20,20,3
chemistry-2011-додаткова сесія,21,23,24,23,4
chemistry-2011-основна сесія,20,26,23,22,4
chemistry-2011-пробний тест,20,26,22,22,5
chemistry-2010-додаткова сесія,25,19,22,25,4
chemistry-2010-основна сесія,22,26,25,20,2
chemistry-2010-пробний тест,20,27,28,18,2
chemistry-2009-додаткова сесія,21,22,23,25,4
chemistry-2009-основна сесія,25,24,21,21,4
chemistry-2008-основна сесія,19,30,25,20,1
chemistry-2007-основна сесія,23,23,18,21,0
