Тест,A,B,C,D,E,F,G,H
english-2020-додаткова сесія,16,15,12,6,2,1,3,3
english-2020-основна сесія,14,15,12,9,1,2,2,3
english-2020-пробний тест,15,17,10,6,3,3,2,2
english-2019-основна сесія,17,15,13,4,2,2,3,2
english-2019-додаткова сесія,15,15,14,4,3,3,2,2
english-2019-пробний тест,14,14,10,9,3,3,3,2
english-2018-основна сесія,17,16,10,6,3,2,2,2
english-2018-додаткова сесія,12,17,16,5,2,2,2,2
english-2018-пробний тест,7,18,13,11,3,1,2,3
english-2018-пробний тест,7,18,13,11,3,1,2,3
english-2017-основна сесія,8,10,9,9,0,3,1,2
english-2017-додаткова сесія,8,12,7,7,2,3,1,2
english-2017-пробний тест,10,7,7,10,3,1,2,2
english-2016-основна сесія,9,10,8,6,3,1,3,2
english-2016-додаткова сесія,7,10,8,8,3,1,2,3
english-2016-пробний тест,10,10,12,3,2,1,3,1
english-2015-основна сесія,7,11,9,6,3,1,2,3
english-2015-додаткова сесія,6,8,9,9,1,3,3,3
english-2015-пробний тест,6,7,12,9,1,1,3,3
english-2014-основна сесія,8,7,9,10,3,1,2,2
english-2014-пробний тест,6,12,8,9,2,3,0,2
english-2013-основна сесія,7,10,8,8,3,2,1,3
english-2013-пробний тест,6,8,9,10,2,3,3,1
english-2012-основна сесія,8,7,8,10,3,2,3,1
english-2012-пробний тест,9,9,9,8,1,2,2,2
english-2011-основна сесія,9,9,10,8,2,3,2,2
english-2011-пробний тест,12,10,10,6,3,2,1,1
english-2010-основна сесія,10,9,10,9,1,2,3,2
english-2010-пробний тест,11,9,7,11,3,0,2,3
english-2009-основна сесія,8,7,6,5,0,2,2,1
