Тест,A,B,C,D,E,F,G,H,I
french-2020-додаткова сесія,10,17,16,12,1,1,1,0,
french-2020-основна сесія,20,13,13,10,0,1,0,1,
french-2020-пробний тест,13,14,13,14,1,1,1,1,
french-2019-основна сесія,14,12,15,14,1,1,0,1,
french-2019-додаткова сесія,14,13,14,14,1,1,0,1,
french-2019-пробний тест,14,15,12,13,1,1,1,1,
french-2018-основна сесія,14,14,14,13,1,1,0,1,
french-2018-додаткова сесія,13,14,14,14,1,1,1,0,
french-2018-пробний тест,16,15,12,12,1,1,1,0,
french-2018-пробний тест,16,15,12,12,1,1,1,0,
french-2017-основна сесія,10,9,10,10,1,1,1,0,
french-2017-додаткова сесія,10,10,10,10,0,1,0,1,
french-2017-пробний тест,10,7,12,11,1,1,0,0,
french-2016-основна сесія,10,10,9,10,1,0,1,1,
french-2016-пробний тест,12,12,7,8,1,1,0,1,
french-2015-основна сесія,10,9,10,11,1,0,1,0,
french-2014-основна сесія,10,10,10,10,1,1,0,0,
french-2013-основна сесія,10,10,10,10,1,0,1,,
french-2012-основна сесія,9,11,10,9,1,1,1,,
french-2011-основна сесія,12,15,10,8,,,,,
french-2010-основна сесія,8,12,11,9,0,2,2,1,1
